id,title,brand,category,subcategory,description,your_cost_usd,normal_value_usd,offer_type,conditions,requires_card,location_scope,country,state,city,online,source_url,verification_status,last_checked,confidence,publish_ready,notes
38,The Grolier Club — Free Admission,The Grolier Club,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
39,Hamilton Grange National Memorial — Free Admission,Hamilton Grange National Memorial,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
40,The High Line — Free Admission,The High Line,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
41,Horological Society of New York — Free Admission,Horological Society of New York,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
42,Hunter College Art Galleries — Free Admission,Hunter College Art Galleries,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
43,NYU Institute for the Study of the Ancient World — Free Admission,NYU Institute for the Study of the Ancient World,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
44,Irish Arts Center Gallery — Free Admission,Irish Arts Center Gallery,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
45,The James Gallery at CUNY Graduate Center — Free Admission,The James Gallery at CUNY Graduate Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
46,Kehila Kedosha Janina Synagogue and Museum — Free Admission,Kehila Kedosha Janina Synagogue and Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
47,Lenfest Center for the Arts — Free Admission,Lenfest Center for the Arts,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
48,National Museum of the American Indian — New York — Free Admission,National Museum of the American Indian — New York,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
49,Nicholas Roerich Museum — Free Admission,Nicholas Roerich Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
50,Print Center New York — Free Admission,Print Center New York,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
51,Rose Museum at Carnegie Hall — Free Admission,Rose Museum at Carnegie Hall,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
52,Salmagundi Club Public Galleries — Free Admission,Salmagundi Club Public Galleries,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
53,Schomburg Center for Research in Black Culture — Free Admission,Schomburg Center for Research in Black Culture,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
54,Sheila C. Johnson Design Center — Free Admission,Sheila C. Johnson Design Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
55,The Skyscraper Museum — Free Admission,The Skyscraper Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
56,Smithsonian National Museum of Natural History — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
57,Smithsonian National Museum of American History — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
58,"National Air and Space Museum — Washington, DC — Free Admission",Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
59,National Museum of African American History and Culture — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
60,"National Museum of the American Indian — Washington, DC — Free Admission",Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
61,Smithsonian American Art Museum — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
62,National Portrait Gallery — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
63,Hirshhorn Museum and Sculpture Garden — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
64,Freer Gallery of Art — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
65,Arthur M. Sackler Gallery — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
66,National Museum of African Art — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
67,National Postal Museum — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
68,Anacostia Community Museum — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
69,Renwick Gallery — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
70,Smithsonian Institution Building (The Castle) — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
71,Smithsonian's National Zoo — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
72,Steven F. Udvar-Hazy Center — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
73,National Museum of Asian Art — Free Admission,Smithsonian,GO FREE,Museum / Zoo,Smithsonian admission is free; some locations may require free timed-entry passes.,0,,Always free,Timed-entry or parking charges may apply at some locations.,Unknown,Local,US,DC/VA,Washington metro,NO,https://www.si.edu/visit/museums,Verified via Smithsonian,2026-08-18,High,YES,
74,The Broad — Free General Admission,The Broad,GO FREE,Museum / Culture,Free museum/cultural admission candidate listed in Los Angeles free-museum guidance.,0,,Always free / free general admission,"Parking, special exhibits, reservations or event tickets may cost extra.",Unknown,Local,US,CA,Los Angeles area,NO,https://www.discoverlosangeles.com/things-to-do/discover-free-museums-in-los-angeles,Verified via Discover Los Angeles aggregate,2026-08-18,High,YES,
75,Getty Center — Free General Admission,Getty Center,GO FREE,Museum / Culture,Free museum/cultural admission candidate listed in Los Angeles free-museum guidance.,0,,Always free / free general admission,"Parking, special exhibits, reservations or event tickets may cost extra.",Unknown,Local,US,CA,Los Angeles area,NO,https://www.discoverlosangeles.com/things-to-do/discover-free-museums-in-los-angeles,Verified via Discover Los Angeles aggregate,2026-08-18,High,YES,
76,Getty Villa — Free General Admission,Getty Villa,GO FREE,Museum / Culture,Free museum/cultural admission candidate listed in Los Angeles free-museum guidance.,0,,Always free / free general admission,"Parking, special exhibits, reservations or event tickets may cost extra.",Unknown,Local,US,CA,Los Angeles area,NO,https://www.discoverlosangeles.com/things-to-do/discover-free-museums-in-los-angeles,Verified via Discover Los Angeles aggregate,2026-08-18,High,YES,
